Total Hour,Hour,SR_down,LW_down,Ta,wind_speed,q,precip,ra,e,e_sat,VPD,gR,gD,gT,Lambda,delta,psy_const,gSM,gS,rs,LW_up,Rn,Cinterim,Cactual,Dcanopy,lambdaEi,Cfinal,lambdaEt,lambdaET,H,Ts,SMlast,SMnew
0.5,0.5,0,269.131,12.697,2.429,2.444,0,14.968005894129586,0.3976411575562701,1.4683415693463617,1.0707004117900916,0.0,0.6930765616447838,0.8728007775000006,2471022.383,0.09627853068977467,0.06669954845585793,0.9816550215888635,0.0001,1000000.0,-350.0,-80.86900000000003,0.0,0.0,0.0,0.0,0.0,0.018253457223269244,0.018253457223269244,-80.8872534572233,284.8953060967523,40.0,39.999973406778324
1.5,1.5,0,271.0,13.16,2.39,2.03,0,15.212253689054714,0.3302829581993569,1.513519049488702,1.1832360912893451,0.0,0.6633474252810352,0.8887777500000014,2469929.2399999998,0.09887422513978418,0.06672906838837943,0.9816549728035909,0.0001,1000000.0,-350.0,-79.0,0.0,0.0,0.0,0.0,0.0,0.020312366339399597,0.020312366339399597,-79.0203123663394,285.3652434302803,39.999973406778324,39.99994380086183
2.5,2.5,0,265.4,11.77,2.33,2.36,0,15.603985543708482,0.3839742765273311,1.3814336190766106,0.9974593425492795,0.0,0.7126835594981092,0.8375909999999999,2473211.03,0.09125551775737312,0.06664052325952065,0.9816549184913762,0.0001,1000000.0,-356.02604028106185,-90.62604028106188,0.0,0.0,0.0,0.0,0.0,0.016712597756062705,0.016712597756062705,-90.64275287881794,283.80484786750856,39.99994380086183,39.999919474044916
3.5,3.5,0,265.1,11.7,2.31,2.19,0,15.73908498564535,0.35631511254019294,1.3750584263039283,1.0187433137637354,0.0,0.7069647235219612,0.8347577500000001,2473376.3,0.09088546041182397,0.06663607036681722,0.981654873863578,0.0001,1000000.0,-353.3251475169101,-88.22514751691006,0.0,0.0,0.0,0.0,0.0,0.01715436446776249,0.01715436446776249,-88.24230188137781,283.75534170527857,39.999919474044916,39.99989450586192
4.5,4.5,0,265.2,11.72,2.21,2.14,0,16.451260776851022,0.3481800643086817,1.376877267230389,1.0286972029217074,0.0,0.7042960994737157,0.8355697500000018,2473329.08,0.0909910603660016,0.06663734256115163,0.9816548280590741,0.0001,1000000.0,-349.32880782213266,-84.12880782213267,0.0,0.0,0.0,0.0,0.0,0.0173441423158819,0.0173441423158819,-84.14615196444855,283.77898764088343,39.99989450586192,39.99986926097524
5.5,5.5,99,261.1,10.68,2.23,2.26,0,16.303715837148324,0.36770418006430866,1.2850510825388508,0.9173469024745422,0.39732441471571905,0.7343634823904286,0.7906937500000011,2475784.52,0.08563652471895832,0.06657125280451225,0.9816547817468371,3.3971496319511605,294.36442557452136,-349.2651328071707,-1.0451328071706598,0.0,0.0,0.0,0.0,0.0,51.70568981988344,51.70568981988344,-52.7508226270541,283.1597581663679,39.99986926097524,39.92468481667167
6.5,6.5,301,264.9,11.63,2.3,2.23,0,15.807515789930767,0.3628231511254019,1.368709093821784,1.0058859426963822,0.7209580838323353,0.7104173396567803,0.8319000000000004,2473541.5700000003,0.09051668254549866,0.06663161806915499,0.9815163344408164,6.2731183875039935,159.41035035971788,-347.8038175721382,181.97618242786177,0.0,0.0,0.0,0.0,0.0,115.49790914494749,115.49790914494749,66.47827328291429,285.64339068099025,39.92468481667167,39.756588804878426
7.5,7.5,497,277.3,14.69,2.49,2.49,0,14.601319805960145,0.40512540192926044,1.6716072601408933,1.2664818582116328,0.8556671449067432,0.6416656191754333,0.9339510000000004,2466316.9099999997,0.10787966513576622,0.06682680417190102,0.981203005303408,7.547234550615343,132.4988634305088,-352.4392977027446,362.2207022972554,0.0,0.0,0.0,0.0,0.0,188.3831026568949,188.3831026568949,173.8375996403605,289.8971418604077,39.756588804878426,39.48161231389503
8.5,8.5,672,279.8,15.3,2.67,2.14,0,13.616961167356092,0.3481800643086817,1.7385638954612772,1.3903838311525956,0.9247706422018349,0.609882340596834,0.9486977500000006,2464876.7,0.11165956151981879,0.06686585060032334,0.9806789601540227,7.870930544164122,127.04978075831797,-369.5154971488765,501.64450285112355,0.0,0.0,0.0,0.0,0.0,228.36135252984107,228.36135252984107,273.2831503212825,291.45660988099235,39.48161231389503,39.148086150453494
9.5,9.5,815,288.5,17.37,3.09,2.3,0,11.766112076647497,0.3742122186495177,1.9836338117057988,1.6094215930562812,0.9635467980295567,0.5551220903514422,0.9848710000000003,2459989.4299999997,0.12533659145802287,0.06699869323032744,0.9800236861154801,7.744056329411085,129.13129211135882,-384.56286927365136,621.1371307263487,0.0,0.0,0.0,0.0,0.0,267.6517257189979,267.6517257189979,353.4854050073508,293.87802750646125,39.148086150453494,38.756399015200884
