Total Hour, Hour,SW_in,LW_down,Ta,um,q,p,Rn,SM,lambdaE_SVAT (W m-2),Eta_SVAT (mm)
0.5,0.5,0,269.1307939,12.69684511,2.429278261,0.002443526,0,-80.86920612,39.9999734,0.018254833,0.000638919
1.5,1.5,0,271.0083791,13.15934049,2.393032023,0.002029475,0,-78.99162086,39.99994379,0.02031527,0.000711034
2.5,2.5,0,265.3830894,11.7664089,2.329627037,0.002357537,0,-65.73008135,39.99991947,0.016713721,0.00058498
3.5,3.5,0,265.0976442,11.69513895,2.306167636,0.002193274,0,-66.02021444,39.99989453,0.017133737,0.000599681
4.5,4.5,0,265.2115654,11.7235897,2.213614468,0.00214492,0,-64.34885382,39.99986929,0.017338765,0.000606857
5.5,5.5,98.9429265,261.0616766,10.6812249,2.229827945,0.002264749,0,8.158417245,39.92475154,51.65976181,1.808091663
6.5,6.5,301.3592112,264.8531205,11.63404052,2.304425711,0.002226103,0,165.0014074,39.75642501,115.655852,4.047954821
7.5,7.5,496.8783293,277.2756262,14.68592512,2.488462564,0.002493171,0,307.4726868,39.48158224,188.2922255,6.590227894
8.5,8.5,672.1759755,279.8312426,15.3010023,2.671194253,0.002143981,0,410.1427445,39.14803065,228.3785446,7.993249061
9.5,9.5,815.3059047,288.5363664,17.36500894,3.09104937,0.002298908,0,503.3555464,38.75631752,267.6707672,9.368476851
10.5,10.5,916.5140484,295.693695,19.0273232,3.290883037,0.00269486,0,573.0582274,38.32961035,291.1181852,10.18913648
11.5,11.5,968.9032387,301.16237,20.27721874,3.279418681,0.002670518,0,605.0027436,37.88722138,301.4543484,10.55090219
12.5,12.5,968.9032387,306.7354897,21.53359361,3.875385147,0.002585146,0,598.3839501,37.45964249,291.0100944,10.1853533
13.5,13.5,916.5140484,314.9016868,23.343972,4.469563411,0.002596421,0,562.8799072,37.07046034,264.4152047,9.254532165
14.5,14.5,815.3059047,312.5490242,22.82605268,3.651549922,0.002368271,0,484.2113595,36.68967182,258.8418071,9.059463249
15.5,15.5,672.1759755,313.8511718,23.11306962,4.781854735,0.002333699,0,377.7266299,36.35135646,229.9069095,8.046741832
16.5,16.5,496.8783293,304.3749039,21.00354306,4.006202645,0.002527802,0,245.9692118,36.03734027,213.8285087,7.483997806
17.5,17.5,301.3592112,301.016301,20.24405605,4.593790565,0.002410999,0,114.3763394,35.78521169,171.8118852,6.01341598
18.5,18.5,98.9429265,286.9111022,16.98323497,3.632319464,0.002202182,0,-33.56979706,35.66173926,84.40378023,2.954132308
19.5,19.5,0,278.9049466,15.07855314,3.509760159,0.002243281,0,-92.42333973,35.66170527,0.023282263,0.000814879
20.5,20.5,0,274.0283628,13.89822066,3.847658286,0.002475948,0,-77.52632589,35.6616751,0.020683668,0.000723928
21.5,21.5,0,276.196282,14.42487465,3.507025566,0.002078406,0,-71.1998064,35.66164171,0.022880408,0.000800814
22.5,22.5,0,272.6487277,13.56143584,2.986239239,0.002035324,0,-75.86472396,35.66161088,0.021143777,0.000740032
23.5,23.5,0,269.7788904,12.85675993,3.09552062,0.002192721,0,-75.56322858,35.66158251,0.019469365,0.000681428
24.5,0.5,0,265.693322,11.84380258,2.411089448,0.002467478,0,-73.99455401,35.66155844,0.016535464,0.000578741
25.5,1.5,0,270.990207,13.15487577,2.335227417,0.002046259,0,-62.2904022,35.66152908,0.020142254,0.000704979
26.5,2.5,0,265.7151569,11.84924718,2.238834361,0.002305117,0,-67.28163038,35.66150435,0.016991552,0.000594704
27.5,3.5,0,262.4932595,11.04220342,2.207183468,0.002378468,0,-70.79130237,35.66148191,0.01542358,0.000539825
28.5,4.5,0,260.021537,10.41801783,2.30485366,0.00230163,0,-65.93142662,35.66146028,0.01487771,0.00052072
29.5,5.5,98.9429265,266.9568321,12.15831193,2.191686139,0.002360926,0,19.91373405,35.57469591,59.58529571,2.08548535
30.5,6.5,301.3592112,269.0343192,12.67301573,2.293972694,0.002220463,0,167.3987494,35.39178703,125.5506326,4.39427214
31.5,7.5,496.8783293,272.2773913,13.47057008,2.485995047,0.002290695,0,295.2216703,35.1387917,173.5264079,6.073424275
32.5,8.5,672.1759755,279.5161696,15.22539986,2.674098349,0.002445336,0,408.7818132,34.81220284,223.62744,7.8269604
33.5,9.5,815.3059047,284.9939442,16.5308045,2.844240142,0.002292548,0,499.5124162,34.43102138,260.6826724,9.123893535
34.5,10.5,916.5140484,295.6386407,19.01465243,3.251131969,0.002628247,0,567.7688432,34.00735303,289.0484868,10.11669704
35.5,11.5,968.9032387,306.823007,21.553186,3.557649201,0.002689024,0,604.6981407,33.57622869,293.4175879,10.26961558
36.5,12.5,968.9032387,304.80716,21.1008327,4.249976307,0.002692893,0,589.9211189,33.15593634,286.1701667,10.01595584
37.5,13.5,916.5140484,312.2756266,22.76567701,4.167542171,0.002381664,0,557.1423203,32.76229965,267.5909669,9.36568384
38.5,14.5,815.3059047,307.9907934,21.81421689,4.560704241,0.002462054,0,477.6346304,32.38245319,258.4535028,9.045872599
39.5,15.5,672.1759755,308.6636986,21.96429191,3.916111345,0.002541616,0,374.0262057,32.03057791,239.386847,8.378539646
40.5,16.5,496.8783293,303.5134999,20.80935388,4.46518877,0.002342634,0,247.7246423,31.7197735,211.6810326,7.408836142
41.5,17.5,301.3592112,295.9653545,19.08981991,4.008395567,0.002470878,0,106.2016598,31.47567297,166.5259885,5.828409598
42.5,18.5,98.9429265,292.4741623,18.28335296,3.524443435,0.002650741,0,-28.01701037,31.3500668,85.75527651,3.001434678
43.5,19.5,0,279.9411918,15.32736983,3.822377235,0.00220992,0,-94.47581093,31.3500317,0.024030782,0.000841077
44.5,20.5,0,277.7170816,14.79247605,3.496722731,0.002265003,0,-79.67262327,31.34999837,0.022833027,0.000799156
45.5,21.5,0,270.5389254,13.04392838,3.352931672,0.002515477,0,-79.20632227,31.34997089,0.018859041,0.000660066
46.5,22.5,0,271.1969524,13.20565779,3.21615852,0.002221849,0,-73.46826684,31.34994163,0.020074177,0.000702596
47.5,23.5,0,269.1887779,12.71116416,3.027559771,0.002039819,0,-71.57670303,31.3499129,0.019719188,0.000690172
48.5,0.5,0,269.4312808,12.77102474,2.436243468,0.002413322,0,-70.52419299,31.34988618,0.018335297,0.000641735
49.5,1.5,0,270.2339248,12.96886547,2.399144937,0.001989624,0,-65.98532233,31.34985706,0.019981815,0.000699364
50.5,2.5,0,266.6130069,12.0728387,2.353739493,0.002310174,0,-68.52190172,31.34983172,0.017406157,0.000609215
51.5,3.5,0,264.6069465,11.57248695,2.20530085,0.002213568,0,-68.80085752,31.3498073,0.016778428,0.000587245
52.5,4.5,0,263.4085574,11.27222579,2.223423749,0.002032919,0,-65.08951246,31.34978266,0.0169379,0.000592827
53.5,5.5,98.9429265,268.074487,12.43558619,2.245359492,0.002014352,0,17.71556268,31.25911604,62.2486686,2.178703401
54.5,6.5,301.3592112,267.9357276,12.40120915,2.260071553,0.002247546,0,163.6253504,31.08345319,120.6081973,4.221286907
55.5,7.5,496.8783293,276.9517565,14.60767407,2.491939056,0.002157302,0,297.5337418,30.81296021,185.3261047,6.486413665
56.5,8.5,672.1759755,285.4967636,16.64968522,2.675134422,0.002352554,0,408.9806793,30.46824058,235.7202482,8.250208687
57.5,9.5,815.3059047,285.3265165,16.60945161,2.836738493,0.002203048,0,489.7101308,30.0916987,257.4903318,9.012161614
58.5,10.5,916.5140484,297.797178,19.51012125,3.158289178,0.002671064,0,560.1919537,29.67022541,287.4139481,10.05948818
59.5,11.5,968.9032387,302.6545606,20.6153083,3.395745487,0.002740798,0,589.3076411,29.24048503,292.7400116,10.24590041
60.5,12.5,968.9032387,305.3892511,21.23168297,3.793873037,0.002587275,0,578.7808383,28.82217464,284.7847828,9.967467398
61.5,13.5,916.5140484,313.5318734,23.04277324,3.568117702,0.002500898,0,544.2653039,28.43004448,266.495579,9.327345264
62.5,14.5,815.3059047,310.0711597,22.27739999,4.418511329,0.002476851,0,457.9969513,28.06036798,251.4214126,8.799749439
