Total Hour, Hour,SW_in,LW_down,Ta,um,q,p,ra,e,esat(T),D,Tk,gR,gD,gT,gSM,SM,gs,rs,LW_up,Rn,LH,delta,psy_const,Cinterim,Cactual,Cfinal,Dcanopy,lambdaEi (C=Cactual),lambdaET,lambdaE,H,Ts
0.5,0.5,0.0,269.13079387712315,12.69684511029523,2.429278260564434,0.002443526019632391,0,14.966291390757878,0.39756404049324434,1.4683266562373942,1.0707626157441499,285.86684511029523,0.0,0.6930599959727758,0.8727952532987024,0.9816550215888635,39.99997340477758,0.0001,1000000.0,-350.0,-80.86920612287685,2471022.748694593,0.0962776721443341,0.06669953858477752,0.0,0.0,0.0,0.0,546.9739954656357,0.018254833226809566,546.9922502988625,-627.8614564217394,278.3252456513643
1.5,1.5,0.0,271.0083791434097,13.159340491112538,2.393032022619594,0.0020294748768538806,0,15.192979439130664,0.33019752015693365,1.5134538395705954,1.1832563194136618,286.32934049111253,0.0,0.6633421247712207,0.8887557542912231,0.9816549727999205,39.99994379464788,0.0001,1000000.0,-350.0,-78.99162085659032,2469930.797100483,0.09887048583602802,0.06672902632085885,0.0,0.0,0.0,0.0,585.991594107559,0.020315269788467635,586.0119093773475,-665.0035302339378,278.2206197455259
2.5,2.5,0.0,265.3830894145385,11.766408901132301,2.329627036827709,0.002357536563381216,0,15.606483674034394,0.38357347301314965,1.3811059319616334,0.9975324589484837,284.9364089011323,0.0,0.712663884229276,0.837446246475655,0.9816549184799767,39.99991843884527,0.0001,1000000.0,-322.9911452953307,-57.608055880792165,2473219.5085844263,0.0912365021003001,0.06664029480535363,0.0,0.0,0.0,0.0,504.45011342134995,0.01741957379850589,504.4675329951485,-562.0755888759406,277.89620512633024
3.5,3.5,0.0,265.0976441601468,11.69513894648815,2.306167636287055,0.0021932738407348766,0,15.765240021916286,0.35684776958580305,1.3746166711316676,1.0177689015458646,284.8651389464882,0.0,0.7072261644275433,0.834560089100141,0.9816548719644911,39.999892520901234,0.0001,1000000.0,-321.99691166975583,-56.89926750960905,2473387.7769473414,0.09085980984178696,0.06663576116391835,0.0,0.0,0.0,0.0,510.73403619700076,0.01780697944144941,510.7518431764422,-567.6511106860512,277.6827731099462
4.5,4.5,0.0,265.21156543289123,11.723589701440986,2.213614467920855,0.0021449197256135657,0,16.424398576952502,0.34898050841172484,1.3772039456396203,1.0282234372278956,284.893589701441,0.0,0.7044230300714662,0.8357152801785409,0.9816548244176293,39.99986635163864,0.0001,1000000.0,-320.752673529807,-55.541108096915764,2473320.604714898,0.09101002504355786,0.06663757090618526,0.0,0.0,0.0,0.0,494.79491493378725,0.017979160108446364,494.8128940938957,-550.3540021908115,277.6389299606703
5.5,5.5,98.94292650391611,261.0616766418051,10.681224898243343,2.2298279453050136,0.0022647485352766663,0,16.30497384042226,0.368476771334403,1.2851559867081117,0.9166792153737087,283.85122489824334,0.3971711697387962,0.7345451957743364,0.7907497853436938,0.9816547764095948,39.92207362805054,3.396920354792296,294.38429387642935,-320.15868340277854,27.972768562472737,2475781.628015247,0.0856426695248862,0.06657133056704426,0.0,0.0,0.0,0.0,460.2112550403502,53.499387736854175,513.7106427772044,-485.7378742147316,277.49487907494336
6.5,6.5,301.35921120210173,264.8531205312383,11.634040516629534,2.3044257112457203,0.0022261026557568978,0,15.77715703284131,0.36218904945755315,1.3690748861784603,1.0068858367209073,284.8040405166295,0.7213013052566533,0.7101486108022755,0.8320656203673741,0.9815115073769067,39.74929198272584,6.274948888097333,159.36384787083364,-319.7257155584151,210.32351083067272,2473532.0303402375,0.09053793428613867,0.06663187504701418,0.0,0.0,0.0,0.0,505.9375510474873,118.71692610153546,624.6544771490228,-414.3309663183501,279.557638282925
7.5,7.5,496.87832926664043,277.2756261942965,14.685925119656481,2.488462563738112,0.0024931712948481673,0,14.61034087739125,0.4056413746601842,1.671167695765439,1.265526321105255,287.8559251196565,0.8556070264768257,0.6419129999394806,0.9338462340635472,0.9811892844653607,39.468758981547786,7.548661325135399,132.47381978447194,-324.195494866482,390.333061082458,2466326.530792491,0.10785478536237894,0.06682654348994842,0.0,0.0,0.0,0.0,617.8440993205967,192.19055099119163,810.0346503117883,-419.70158922933024,282.93455072225095
8.5,8.5,672.1759755206294,279.831242576854,15.301002303447607,2.671194253029934,0.002143981003194883,0,13.610873217326187,0.34882777736868514,1.7386758200532408,1.3898480426845556,288.4710023034476,0.924826174148243,0.6100185249491691,0.9487204496615581,0.9806541102125725,39.128630817775665,7.8731497183003,127.01396973000605,-337.09054609017164,534.2555549448361,2464874.33356156,0.11166586372550318,0.06686591479585535,0.0,0.0,0.0,0.0,712.6566738415944,232.88143916759233,945.5381130091868,-411.2825580643506,283.97825777555295
9.5,9.5,815.3059047139755,288.53636638788475,17.36500894135059,3.091049369597625,0.002298907857502239,0,11.76211764018947,0.37403452601161835,1.9830083097039912,1.608973783692373,290.5350089413506,0.9636180397595431,0.5552321845020192,0.9848095477019464,0.9799847837015506,38.72966168638897,7.745374049140476,129.10932301726248,-347.7447568949057,658.2608056412773,2460001.2138894713,0.12530198022045938,0.06699837229341435,0.0,0.0,0.0,0.0,886.3350536493923,272.62904097658156,1158.9640946259738,-500.7032889846964,285.8083811290345
