Station,Date,Avg Temp (deg C),Vapor Pressure (Pa),Wind Speed (m/s),Net Radiation (Wm-2)
ftc01,1/1/2023,0.89,499,0.839467593,90.14
ftc01,1/2/2023,-3.2,452,0.864699074,11.46
ftc01,1/3/2023,-6.65,326,0.930555556,64.83
ftc01,1/4/2023,-6.48,281,1.111111111,133.8
ftc01,1/5/2023,-6.84,270,0.298611111,56.86
ftc01,1/6/2023,0.3,388,0.659375,86.88
ftc01,1/7/2023,0.08,465,0.998842593,109.49
ftc01,1/8/2023,-1.16,366,0.567476852,79.24
ftc01,1/9/2023,3.39,373,0.88912037,79.07
ftc01,1/10/2023,3.84,433,1.332175926,109.72
ftc01,1/11/2023,0.88,572,0.830671296,47.6
ftc01,1/12/2023,-1.17,447,0.654976852,110.88
ftc01,1/13/2023,0.87,420,0.269907407,102.78
ftc01,1/14/2023,4.2,456,1.077546296,74.17
ftc01,1/15/2023,2.85,479,0.591435185,37.51
ftc01,1/16/2023,0.34,452,0.658796296,96.53
ftc01,1/17/2023,-1.75,432,0.803125,59.09
ftc01,1/18/2023,-2.9,392,2.652777778,51.78
ftc01,1/19/2023,-7.76,261,0.498032407,102.78
ftc01,1/20/2023,-5.64,250,0.763310185,110.19
ftc01,1/21/2023,-3.22,301,1.612268519,79.91
ftc01,1/22/2023,-3.03,311,0.813657407,128.24
ftc01,1/23/2023,-2.71,401,0.967592593,57.21
ftc01,1/24/2023,-5.15,290,0.65775463,102.55
ftc01,1/25/2023,-2.41,231,5.622685185,120.6
ftc01,1/26/2023,-1.02,231,2.409722222,115.28
ftc01,1/27/2023,-2.44,305,0.925115741,81.54
ftc01,1/28/2023,-7.25,304,1.412037037,43.68
ftc01,1/29/2023,-17.35,128,1.055555556,45.51
ftc01,1/30/2023,-18.29,111,0.882638889,105.09
ftc01,1/31/2023,-15.54,129,0.493981481,151.04
ftc01,2/1/2023,-6.72,229,0.771759259,147.8
ftc01,2/2/2023,-3.66,288,0.917592593,151.27
ftc01,2/3/2023,1.39,289,0.548842593,131.25
ftc01,2/4/2023,5.73,288,3.100694444,149.07
ftc01,2/5/2023,1.53,382,0.950231481,134.95
ftc01,2/6/2023,2.47,316,3.896990741,102.08
ftc01,2/7/2023,-0.92,311,0.940972222,161
ftc01,2/8/2023,0.63,291,3.172453704,140.16
ftc01,2/9/2023,-2.47,225,4.862268519,167.59
ftc01,2/10/2023,-3.5,230,0.67037037,165.86
ftc01,2/11/2023,1.72,330,0.258333333,157.29
ftc01,2/12/2023,1.95,387,1.310185185,138.31
ftc01,2/13/2023,2.14,309,0.668865741,145.14
ftc01,2/14/2023,2.31,260,5.152777778,146.41
ftc01,2/15/2023,-10.02,232,1.274305556,85.64
ftc01,2/16/2023,-8.85,200,1.144675926,181.37
ftc01,2/17/2023,-1.68,294,0.618402778,178.36
ftc01,2/18/2023,0.74,343,0.576157407,74
ftc01,2/19/2023,3.89,248,4.414351852,169.56
ftc01,2/20/2023,5.77,346,3.372685185,78.73
ftc01,2/21/2023,3.66,448,1.783564815,145.25
ftc01,2/22/2023,-16.16,153,1.234953704,77.33
ftc01,2/23/2023,-20.52,93,0.857175926,192.71
ftc01,2/24/2023,-11.63,173,0.736921296,176.27
ftc01,2/25/2023,-1.17,358,0.743055556,198.61
ftc01,2/26/2023,4.37,404,2.496527778,140.05
ftc01,2/27/2023,5.78,259,4.017361111,205.79
ftc01,2/28/2023,-0.56,273,2.989583333,179.86
ftc01,3/1/2023,-4.87,303,1.091435185,86.42
ftc01,3/2/2023,-2.51,364,0.867939815,206.83
ftc01,3/3/2023,0.46,404,1.178240741,91.97
ftc01,3/4/2023,-1.82,394,1.375,97.92
ftc01,3/5/2023,1.03,369,3.665509259,176.04
ftc01,3/6/2023,-0.84,359,1.827546296,204.51
ftc01,3/7/2023,-1.82,422,0.9125,74.72
ftc01,3/8/2023,-1.36,453,1.653935185,42.82
ftc01,3/9/2023,2.36,373,2.304398148,223.15
ftc01,3/10/2023,1.51,486,0.927083333,149.07
ftc01,3/11/2023,6.14,299,4.474537037,218.98
ftc01,3/12/2023,-0.5,344,1.832175926,186.92
ftc01,3/13/2023,1.09,375,1.020833333,214.47
ftc01,3/14/2023,5.99,368,1.070601852,200.93
ftc01,3/15/2023,9.6,488,1.768518519,200.69
ftc01,3/16/2023,0.28,256,5.284722222,227.66
ftc01,3/17/2023,-1.59,172,2.086805556,245.6
ftc01,3/18/2023,-1.78,160,1.674768519,251.39
ftc01,3/19/2023,0.86,190,0.820949074,225.35
ftc01,3/20/2023,4.02,383,1.688657407,150
ftc01,3/21/2023,6.49,272,2.841435185,240.86
ftc01,3/22/2023,-0.64,517,0.773842593,65.5
ftc01,3/23/2023,2.62,501,1.200231481,185.65
ftc01,3/24/2023,2.7,393,1.170138889,153.47
ftc01,3/25/2023,-1.53,208,4.038194444,207.99
ftc01,3/26/2023,-2.89,233,1.228009259,241.78
ftc01,3/27/2023,-3.7,269,2.83912037,201.04
ftc01,3/28/2023,-3.93,251,0.806481481,275
ftc01,3/29/2023,-0.37,412,1.157407407,251.04
ftc01,3/30/2023,4.08,445,1.09375,230.32
ftc01,3/31/2023,4.86,258,6.652777778,204.63
ftc01,4/1/2023,6.81,305,1.34837963,253.24
ftc01,4/2/2023,11.23,331,2.162037037,276.62
ftc01,4/3/2023,4.36,494,2.456018519,186.11
ftc01,4/4/2023,-4.73,360,2.114583333,179.98
ftc01,4/5/2023,-3.03,295,1.393518519,266.67
ftc01,4/6/2023,0.88,295,1.020833333,291.55
ftc01,4/7/2023,7.5,326,1.236111111,293.06
ftc01,4/8/2023,9.28,458,1.144675926,126.04
ftc01,4/9/2023,10.19,457,1.365740741,267.25
ftc01,4/10/2023,12.56,467,1.396990741,294.91
ftc01,4/11/2023,15.44,431,1.306712963,304.98
ftc01,4/12/2023,16.93,458,1.681712963,253.01
ftc01,4/13/2023,15.29,515,1.428240741,151.74
ftc01,4/14/2023,2.81,558,1.174768519,55.27
ftc01,4/15/2023,2.2,420,1.871527778,246.64
ftc01,4/16/2023,5.81,383,1.444444444,303.7
ftc01,4/17/2023,11.21,399,1.016203704,263.77
ftc01,4/18/2023,13.28,400,3.166666667,267.48
ftc01,4/19/2023,6.46,441,3.148148148,169.21
ftc01,4/20/2023,3.52,195,4.925925926,259.03
ftc01,4/21/2023,3.09,303,1.864583333,159.72
ftc01,4/22/2023,-1.06,455,1.450231481,146.41
ftc01,4/23/2023,4.51,444,1.08912037,308.22
ftc01,4/24/2023,9.85,471,1.423611111,293.06
ftc01,4/25/2023,6.58,773,1.782407407,115.28
ftc01,4/26/2023,8.08,790,1.561342593,257.75
ftc01,4/27/2023,9.95,605,3.78125,253.12
ftc01,4/28/2023,8.62,430,3.511574074,304.51
ftc01,4/29/2023,14.07,555,1.724537037,274.31
ftc01,4/30/2023,11.13,594,1.203703704,303.82
ftc01,5/1/2023,11.85,517,1.099537037,307.75
ftc01,5/2/2023,12.18,645,1.384259259,262.27
ftc01,5/3/2023,16.33,610,1.081018519,293.63
ftc01,5/4/2023,14.66,722,1.846064815,171.18
ftc01,5/5/2023,12.09,686,1.607638889,191.32
ftc01,5/6/2023,12.83,449,1.974537037,308.56
ftc01,5/7/2023,12.64,607,1.125,222.69
ftc01,5/8/2023,14.44,680,1.268518519,274.65
ftc01,5/9/2023,15.75,867,1.72337963,297.69
ftc01,5/10/2023,11.4,1139,1.103009259,87.89
ftc01,5/11/2023,10.12,1117,2.010416667,54.56
ftc01,5/12/2023,12.23,870,5.71875,224.88
ftc01,5/13/2023,12.91,921,2.396990741,208.68
ftc01,5/14/2023,10.73,1184,0.865162037,99.19
ftc01,5/15/2023,10.57,1112,0.663078704,100.81
ftc01,5/16/2023,15.52,918,1.615740741,236.23
ftc01,5/17/2023,17.16,974,1.185185185,260.53
ftc01,5/18/2023,12.26,1237,1.085648148,148.38
ftc01,5/19/2023,11.28,1069,1.074074074,122.45
ftc01,5/20/2023,13.81,1177,0.68287037,214.47
ftc01,5/21/2023,17.07,845,1.314814815,330.44
